[2025-12-07T18:28:57.400055938] ComandoMsgAllCommand con parametros 'all-asd'
[2025-12-07T18:34:46.166409085] ComandoPrivateMsgCommand con parametros 'dm-ME CAGO EN TUS MUERTOS-3'
[2025-12-07T18:34:58.970682073] ComandoMsgAllCommand con parametros 'all-gays'
[2025-12-07T18:35:13.261171246] ComandoGiveupCommand con parametros 'pass'
[2025-12-07T18:35:52.902408382] ComandoDrawCommand con parametros 'draw'
[2025-12-07T18:36:12.396486856] ComandoDrawCommand con parametros 'draw-1'
[2025-12-07T18:36:41.774010045] ComandoDrawCommand con parametros 'draw'
[2025-12-07T18:36:49.556417589] ComandoGiveupCommand con parametros 'pass'
[2025-12-07T18:36:56.542409526] ComandoGiveupCommand con parametros 'pass'
[2025-12-07T23:33:08.606323303] ComandoMsgAllCommand con parametros 'all-asd'
[2025-12-07T23:33:21.730875032] ComandoGiveupCommand con parametros 'pass'
[2025-12-08T01:23:45.150727801] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T01:34:50.396751628] Comando 'DrawCommand' con parametros 'draw'
[2025-12-08T01:35:04.591946945] Comando 'DrawCommand' con parametros 'draw-1'
[2025-12-08T01:35:26.772381835] Comando 'PassCommand' con parametros 'pass'
[2025-12-08T11:45:06.169164228] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-2'
[2025-12-08T11:45:26.070625401] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T11:46:31.562453116] Comando 'AttackCommand' con parametros 'ataque-Pyron-arco-1'
[2025-12-08T14:36:13.338947001] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T14:38:38.868684230] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T14:43:22.131713031] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T14:44:36.473090497] Comando 'AttackCommand' con parametros 'ataque-Pyron-daga-1'
[2025-12-08T14:47:21.611750487] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
[2025-12-08T14:54:46.514869967] Comando 'AttackCommand' con parametros 'ataque-Pyron-daga-1'
[2025-12-08T22:47:07.471376675] Comando 'MsgAllCommand' con parametros 'all-perras todos'
 [2025-12-08T22:50:29.815743886] Comando 'MsgAllCommand' con parametros 'all-perras'
 [2025-12-08T23:21:50.175035333] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-2'
 [2025-12-08T23:28:44.983773065] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-2'
 [2025-12-09T05:15:12.964097096] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T05:15:12.966459553] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T05:15:12.967774317] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T05:15:12.969283862] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T05:15:20.586024341] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T05:15:20.587765747] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T05:15:20.588836420] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T05:15:20.589857864] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T05:15:25.740962591] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T05:15:25.744265502] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T05:15:25.746445620] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T05:15:25.748786017] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T05:15:31.720830691] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T05:15:31.723165649] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T05:15:31.724051852] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T05:15:31.725075265] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T05:15:57.207201501] Comando 'MsgAllCommand' con parametros 'all-Perras'
 [2025-12-09T05:16:28.462164709] Comando 'PrivateMsgCommand' con parametros 'dm-inutil-3'
 [2025-12-09T05:17:11.703555481] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-3'
 [2025-12-09T05:18:10.010165709] Comando 'SelectPlayerCommand' con parametros 'consultar-1'
 [2025-12-09T05:43:39.108378961] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T05:43:39.109744613] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T05:43:39.110642057] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
